name,description,units,default_value,distribution,dist_min,dist_max,dist_bounds,notes,category,type,US,Europe,China,India
beccs_capex_premium,Increase in total CAPEX for post-combustion capture and compression relative to BES at equal thermal input,fraction,0.4,pert,0.25,0.8,absolute,"IEAGHG (2009) dedicated biomass CFB/BFB: +38-40% total investment (+114-126% per kWe net); range spans co-fired cases (+25-30%) to the upper end of Bhave et al. (2017).",Technology - BECCS,parameter,0.4,0.4,0.4,0.4
beccs_eff_penalty,BECCS efficiency penalty (percentage points below BES),fraction,0.08,pert,0.04,0.11,absolute,,Technology - BECCS,parameter,0.08,0.08,0.08,0.08
beccs_om_factor,O&M cost as fraction of CAPEX for BECCS,fraction,0.05,pert,0.75,1.35,relative,Medium Priority. Highly labor-dependent.,Technology - BECCS,parameter,0.05,0.05,0.05,0.05
capture_rate,BECCS CO2 capture efficiency,fraction,0.9,pert,0.85,0.95,absolute,Validation needed: Real-world data is sparse. Recommend sensitivity analysis (85-95%).,Technology - BECCS,parameter,0.9,0.9,0.9,0.9
ccs_distance,CCS transport distance,km,100,none,,,,,CO~2~ Transport & Storage,parameter,100,100,100,100
ccs_storage_cost,Onshore injection and monitoring,$/Mg CO2,15,pert,0.5,2,relative,High Priority. Geologic storage costs vary drastically. Consider spatial raster.,CO~2~ Transport & Storage,parameter,12,12,12,12
cost_offshore_storage,Offshore injection and monitoring,$/Mg CO2,40,pert,0.5,2,relative,,CO~2~ Transport & Storage,parameter,40,40,40,40
bes_capital_cost,Base CAPEX for BES at a 50 MWe reference plant (quoted at bes_capex_ref_eff),$/kWe (net),3000,pert,0.75,1.5,relative,Medium Priority. Differ significantly due to local labor/material costs.,Technology - BES,parameter,3000,3000,3000,3000
bes_capex_ref_eff,Net electrical efficiency at which bes_capital_cost is quoted; sizes combustion CAPEX from thermal input,fraction,0.3,none,,,,"Fixed design point, so sampled efficiency, ash and CCS penalties change output but not equipment cost.",Technology - BES,parameter,0.3,0.3,0.3,0.3
bes_energy_efficiency,Electrical efficiency for BES,fraction,0.3,pert,0.85,1.15,relative,,Technology - BES,parameter,0.3,0.3,0.3,0.3
bes_om_factor,O&M cost as fraction of CAPEX for BES,fraction,0.04,pert,0.75,1.35,relative,Medium Priority. Highly labor-dependent.,Technology - BES,parameter,0.04,0.04,0.04,0.04
ag_impact_duration,Duration of nutrient/liming benefit,years,10,pert,0.6,2,relative,Medium Priority. Duration depends heavily on local climate and soil. 10-year flat assumption poorly validated.,Biochar & Agronomic,parameter,5,5,5,5
avail_k,First-year potassium availability,fraction,0.8,none,,,,,Biochar & Agronomic,parameter,0.8,0.8,0.8,0.8
avail_n,First-year nitrogen availability,fraction,0.1,none,,,,,Biochar & Agronomic,parameter,0.1,0.1,0.1,0.1
avail_p,First-year phosphorus availability,fraction,0.5,none,,,,,Biochar & Agronomic,parameter,0.5,0.5,0.5,0.5
bc_ag_value,Biochar agronomic value,$/Mg,0,none,,,,,Biochar & Agronomic,parameter,0,0,0,0
bc_cce,Calcium Carbonate Equivalent,fraction,0.15,pert,0.05,0.3,absolute,"Validation needed: Does 15% hold true globally, or should it scale with bm_ash?",Biochar & Agronomic,parameter,0.15,0.15,0.15,0.15
