name,description,units,default_value,uncertainty_level,distribution,dispersion,minimum,maximum,notes,ref
discount_rate,Discount rate,fraction,0.02,NA,none,NA,NA,NA,,1. EPA. EPA Report on the Social Cost of Greenhouse Gases: Estimates Incorporating Recent Scientific Advances. (2023).
plant_mw_th,Plant thermal capacity,MWth,50,NA,none,NA,NA,NA,,
O_M_factor,Operations & Maintenance,% of Capex,0.04,Medium,uniform,NA,0.026143593539449,0.053856406460551,,
bm_lhv,Biomass lower heating value,GJ/Mg,18.6,Medium,normal,3.72,7.44,29.76,"Medium Priority. Varies by regional feedstock (e.g., rice straw vs corn stover).",
bm_c,Carbon fraction of biomass,fraction,0.48,Low,normal,0.024,0.408,0.552,,
bm_transport_fixed,Fixed transport cost (Loading/Handling),$/Mg,5,Medium,normal,1,2,8,,
bm_transport_var,Variable transport cost (Trucking),$/Mg/km,0.15,Medium,normal,0.03,0.06,0.24,,
bm_ash,Biomass ash content,fraction,0.05,Medium,normal,0.01,0.02,0.08,Medium Priority. Varies by regional feedstock.,
bm_h2o,Biomass moisture content,fraction,0.1,Low,normal,0.005,0.085,0.115,,
bm_feed_rate,Biomass feed rate,kg/hr,250,Low,normal,12.5,212.5,287.5,,
elec_price,Electricity price,$/MWh,100,Medium,normal,20,40,160,,
wholesale_discount_factor,Ratio of Wholesale to Retail,ratio,0.4,Medium,uniform,NA,0.26143593539449,0.53856406460551,,
c_price,Carbon price,$/tCO2e,100,NA,none,NA,NA,NA,,
bc_price,Biochar price,$/t Biochar,100,High,normal,40,0,220,,
price_lime,Bulk Ag Lime price,$/Mg,60,Medium,normal,3,51,69,Low Priority. Varies by local transport distance.,
price_n,Nitrogen fertilizer price,$/kg N,0.92,High,normal,0.368,0,2.024,High Priority. Massive regional variations due to subsidies and tariffs.,
price_p,Phosphorus fertilizer price,$/kg P2O5,1.1,High,normal,0.44,0,2.42,High Priority. Massive regional variations due to subsidies and tariffs.,
price_k,Potassium fertilizer price,$/kg K2O,0.62,High,normal,0.248,0,1.364,High Priority. Massive regional variations due to subsidies and tariffs.,
bes_life,BES project lifetime,years,30,Low,none,NA,NA,NA,,
bes_energy_efficiency,BES energy efficiency,fraction,0.3,Low,uniform,NA,0.274019237886467,0.325980762113533,,
bes_capital_cost,BES capital cost,$/kW,3000,Medium,log-normal,0.198042200435365,0,5328.8131156889,Medium Priority. Differ significantly due to local labor/material costs.,
bes_om_factor,BES O&M factor,fraction,0.04,Medium,uniform,NA,0.026143593539449,0.053856406460551,Medium Priority. Highly labor-dependent.,
ff_c_intensity,Fossil fuel carbon intensity,tCO2eq/GJ,0.00333333333333333,Medium,uniform,NA,0.00217863279495408,0.00448803387171258,,
use_flat_ci,Use flat carbon intensity,logical,FALSE,NA,none,NA,NA,NA,,
flat_ci_tCO2_GJ,Flat carbon intensity value,tCO2eq/GJ,0.00333333333333333,NA,uniform,NA,NA,NA,,
optimize_scale,Optimize plant scale,logical,FALSE,NA,none,NA,NA,NA,,
plant_sizes_mw_th,Available plant sizes,MWth,"5,25,50,100,250,500",NA,none,NA,NA,NA,,
rebound,Rebound effect,fraction,0,NA,uniform,NA,NA,NA,,
beccs_available,Is BECCS available,logical,TRUE,NA,none,NA,NA,NA,,
beccs_eff_penalty,BECCS efficiency penalty,fraction,0.08,Low,uniform,NA,0.0730717967697245,0.0869282032302755,,
ccs_cc,CCS capital cost,$/kW,500,High,log-normal,0.385253170159927,0,1474.62294611546,,
